id,zip,lat,lng,population,timezone,city,state,type
72,00751,18.156567,-66.1102,19596,America/Puerto_Rico,Ponce,PR,comunidad
73,00754,18.156567,-66.1102,36822,America/Puerto_Rico,Ponce,PR,zona urbana
74,00757,18.156567,-66.1102,19974,America/Puerto_Rico,Ponce,PR,comunidad
75,00765,18.156567,-66.1102,8147,America/Puerto_Rico,Ponce,PR,comunidad
76,00766,18.156567,-66.1102,21829,America/Puerto_Rico,Ponce,PR,zona urbana
77,00767,18.156567,-66.1102,30453,America/Puerto_Rico,Ponce,PR,zona urbana
78,00769,18.156567,-66.1102,33953,America/Puerto_Rico,Ponce,PR,zona urbana
79,00771,18.156567,-66.1102,35165,America/Puerto_Rico,Ponce,PR,comunidad
80,00772,18.156567,-66.1102,16961,America/Puerto_Rico,Ponce,PR,zona urbana
81,00773,18.156567,-66.1102,17631,America/Puerto_Rico,Ponce,PR,comunidad
82,00775,18.156567,-66.1102,1281,America/Puerto_Rico,Ponce,PR,zona urbana
83,00777,18.156567,-66.1102,37243,America/Puerto_Rico,Ponce,PR,zona urbana
84,00778,18.156567,-66.1102,40391,America/Puerto_Rico,Ponce,PR,zona urbana
85,00780,18.156567,-66.1102,13612,America/Puerto_Rico,Ponce,PR,zona urbana
86,00782,18.156567,-66.1102,18397,America/Puerto_Rico,Ponce,PR,comunidad
87,00783,18.156567,-66.1102,34266,America/Puerto_Rico,Ponce,PR,zona urbana
88,00784,18.156567,-66.1102,35405,America/Puerto_Rico,Ponce,PR,zona urbana
89,00786,18.156567,-66.1102,135,America/Puerto_Rico,Ponce,,
90,00791,18.156567,-66.1102,45912,America/Puerto_Rico,Ponce,PR,zona urbana
91,00794,18.156567,-66.1102,28450,America/Puerto_Rico,Ponce,PR,zona urbana
92,00795,18.156567,-66.1102,43212,America/Puerto_Rico,Ponce,PR,zona urbana
93,00802,18.34294,-64.9251,,America/St_Thomas,,,
94,00820,17.736628,-64.70821,,America/St_Thomas,,,
95,00830,18.338558,-64.73653,,America/St_Thomas,,,
96,00840,17.72471,-64.84852,,America/St_Thomas,,,
97,00850,17.726822,-64.792244,,America/St_Thomas,,,
98,00851,17.747524,-64.78744,,America/St_Thomas,,,
99,00901,18.407299,-66.08989,6762,America/Puerto_Rico,San Juan,PR,zona urbana
100,00906,18.407299,-66.08989,46,America/Puerto_Rico,San Juan,PR,zona urbana
101,00907,18.407299,-66.08989,15911,America/Puerto_Rico,San Juan,PR,zona urbana
102,00909,18.407299,-66.08989,5466,America/Puerto_Rico,San Juan,PR,zona urbana
103,00911,18.407299,-66.08989,7430,America/Puerto_Rico,San Juan,PR,zona urbana
104,00912,18.407299,-66.08989,6219,America/Puerto_Rico,San Juan,PR,zona urbana
105,00913,18.407299,-66.08989,6700,America/Puerto_Rico,San Juan,PR,zona urbana
106,00915,18.407299,-66.08989,24484,America/Puerto_Rico,San Juan,PR,zona urbana
107,00917,18.407299,-66.08989,18216,America/Puerto_Rico,San Juan,PR,zona urbana
108,00918,18.407299,-66.08989,16379,America/Puerto_Rico,San Juan,PR,zona urbana
109,00920,18.407299,-66.08989,16403,America/Puerto_Rico,San Juan,PR,zona urbana
110,00921,18.407299,-66.08989,34197,America/Puerto_Rico,San Juan,PR,zona urbana
111,00923,18.407299,-66.08989,24826,America/Puerto_Rico,San Juan,PR,zona urbana
112,00924,18.407299,-66.08989,47800,America/Puerto_Rico,San Juan,PR,zona urbana
113,00925,18.407299,-66.08989,4777,America/Puerto_Rico,San Juan,PR,zona urbana
114,00926,18.407299,-66.08989,93308,America/Puerto_Rico,San Juan,PR,zona urbana
115,00927,18.407299,-66.08989,13675,America/Puerto_Rico,San Juan,PR,zona urbana
116,00934,18.407299,-66.08989,80,America/Puerto_Rico,San Juan,PR,zona urbana
117,00949,18.407299,-66.08989,66714,America/Puerto_Rico,San Juan,PR,comunidad
118,00950,18.407299,-66.08989,0,America/Puerto_Rico,San Juan,,
